ID,Hospital Name,Division,District,Area,Address,Facilities,Contact Details,Remark
0133,Metropolitan Hospital Ltd,Chattogram,Chattogram,Chattogram,"948 O.R. Nizam Road, Chattogram-4000","Pathological Tests - 25%, Radiology & Imaging - 15% Discount obtainable in OPD services",Morshed 0181499619 / Shahadat 01827830845,Cashless facilities obtainable on IPD service
0132,"Islami Bank Hospital, (Chattogram)",Chattogram,Chattogram,Chattogram,"Sheikh Mujib Rd, Chattogram.","Pathological Tests - 40%, Radiology & Imaging - 35% Discount obtainable in OPD services","Tel: 02 9338481, 9348842, ibh.agrabad@gmail.com",Cashless facilities obtainable on IPD service
0127,Max Hospital Limited,Chattogram,Chattogram,Chattogram,"35/36, Mehedibag, Chittagong-4000","Pathological Tests - 30%, Radiology & Imaging - 20% Discount obtainable in OPD services","01713998156, ranjan010175@gmail.com, maxdiagnosticltd@gmail.com",Cashless facilities obtainable on IPD service
0118,Ramganj Adhunik Hospital,Chattogram,Chattogram,Chattogram,"College Road, Ramganj, Lakshmipur, Chattogram","Pathological Tests - 30%, Radiology & Imaging - 20% Discount obtainable in OPD services","Mr. Nazmul Hasan, +880 1740 963 494, ramgonjadhunik@hotmail.com",Cashless facilities applicable
0035,Surgiscope Hospital Unit-1.,Chattogram,Chattogram,Chattogram,"53/1, Panchlaish R/A, Chattogram-4203","Pathological Tests - 20%, Radiology & Imaging - 10% Discount obtainable in OPD services","Mr. Sanjoy Kumar Nath, +880 1819 633 434, Tel: 031 652038; 653882, surgihospital@yahoo.com",Cashless facilities obtainable on IPD service
0304,"Surgiscope Hospital Unit-2, (Multi Specialized Hospital)",Chattogram,Chattogram,Chattogram,"445/466, Katalgonj, Chattogram-4203","Pathological Tests - 20%, Radiology & Imaging - 10% Discount obtainable in OPD services","Mr. Sanjoy Kumar Nath, +880 1819 633 434, Tel: 031 255 5101-5, surgihospital@yahoo.com",Cashless facilities obtainable on IPD service
0316,Medical Centre,Chattogram,Chattogram,Chattogram,"953 O.R. Nizam Rd, Chittagong, Bangladesh","Pathological Tests - 30%, Radiology & Imaging - 20% Discount obtainable in OPD services","Mr. Kamal Uddin, +880 1553-312589, kuddin500@yahoo.com",Cashless facilities obtainable on IPD service
0363,Bangladesh Eye Hospital & Institute Ltd.,Chattogram,Chattogram,Chattogram,"Probartak sangha building (4th-5th floor), probartak circle panchlaish, Chittagong",Investigation-10%,01839392525,Cashless facilities not obtainable on IPD service
0369,Evercare Hospital Chattogram,Chattogram,Chattogram,Chattogram,"Plot # H1, Anannaa R/A, CDA, Hathazari, Chattogram","NO DISCOUNT ON OPD (OUT-PATIENT) SERVICES, COVID-19 treatment available (Cashless facilities available)","Mr. Ranjon 01729043247, Hospital Contact No: 09610847847",Cashless facilities obtainable on IPD service
0415,Labaid Diagnostic,Chattogram,Chattogram,Chattogram,"Forum Central (2nd Floor), 787/863, M. M. Ali Road, Gole Pahar More, Mehedigab, Chattogram","Pathological Tests - 15% (Except PCR & Nuclear Medicine), Radiology & Imaging - 10%","880 1766 662829, Tel: 02-863892-4",N/A
0341,Gomati Hospital (Pvt.) Ltd.,Chattogram,Comilla,Comilla,"Nazrul Avenue, Kanirbazar, Cumilla.","Pathological Tests - 25%, X-Ray/ECG/Mammography -20%, USG/Color Doppler-30%/10%, Radiology & Imaging- 10%, CT Scan - 15%, MRI-10%","Mr. Ali Newaz, +880 1818 213948, gomotihp2001@gmail.com",Cashless facilities not obtainable on IPD service
0031,Cumilla Trauma Center,Chattogram,Comilla,Comilla,"Nazrul Avenue, Ranir Bazaar Road, Cumilla","Outdoor/Emergency Doctor fee - 20/- Discount, Pathological Tests - 20%, Radiology & Imaging - 20% Discount obtainable in OPD services","Mr. H.M. Taizur Rob, +880 1733 38 62 03, drabdulhoque63@gmail.com, hmtaizurrob@gmail.com",Cashless facilities obtainable on IPD service
0080,Laksam Medical Center (Pvt.) Ltd.,Chattogram,Comilla,Comilla,"Khondokar Super Market (1st & 2nd Floor), Bypass Road (East side), Laksam, Cumilla","Pathological Tests - 35%, Radiology & Imaging - 25% Discount obtainable in OPD services","Mr. Lutfur Rahaman Jewel, +880 1711 205 559, +880 1971 120 559, Irjewellaksam@gmail.com",Cashless facilities obtainable on IPD service
0084,"Central Hospital, Coxsbazar",Chattogram,Cox's Bazar,Cox's Bazar,"Near Girl's High School, Sadar Hospital Road, 4700 Cox's Bazar","Pathological Tests - 30%, Radiology & Imaging - 15% Discount obtainable in OPD services","Mr. Absar Kamal, +880 1873 250 868, omar.sharif.shibly@gmail.com, info@centralhospitalcox.com",Cashless facilities obtainable on IPD service
0302,Fouad Al-Khateeb Hospital,Chattogram,Cox's Bazar,Cox's Bazar,"Central Jamay Mosjid Road, Cox's Bazar 4700 Cox's Bazar.","Pathological Tests - 30%, Radiology & Imaging - 20%, Physiotherapy - 20% Discount obtainable in OPD services","Dr. Shah Alam, +880 1965 510 000, 0341-64674, 0341-62111",Cashless facilities applicable
0075,ZU Model Hospital,Chattogram,Feni,Feni,"SSk Road Feni, Chittagon Division, Feni","Pathological Tests - 30%, Radiology & Imaging - 30% Discount obtainable in OPD services","Mr. Sultan A. Tipu, +880 1881 101 013, gmtipu@ymail.com",Cashless facilities obtainable on IPD service
0236,Model Hospital Private,Chattogram,Lakshmipur,Lakshmipur,"Ramgoti Road (Near Markaj Mosjid), Laxmipur","Pathological Tests - 35%, Radiology & Imaging - 20% Discount obtainable in OPD services","Mr. Taslimur Rahman, +880 1743 917 503, modelhospital3@gmail.com",Cashless facilities obtainable on IPD service
0028,Apollo Hospital & Diagnostic Complex,Chattogram,Noakhali,Noakhali,"Main road, Maijdee, Noakhali","Pathological Tests - 30%, Radiology & Imaging - 15% Discount obtainable in OPD services","Mr. Nazmul Ahmed Shupath, +880 1716 150 059, +880 1788 398 484",Cashless facilities applicable
0224,Good Heal Hospital,Chattogram,Noakhali,Noakhali,"General Hospital Road, Maijdee, Noakhali","Pathological Tests - 30%, Radiology & Imaging - 20% Discount obtainable in OPD services","Mr. Raisuddin Khandokar, +880 1711 464 812, goodheal_hospital@yahoo.com",Cashless facilities obtainable on IPD service
0225,Good Heal Complex,Chattogram,Noakhali,Noakhali,"Hospital Road, Maijdee, Noakhali","Pathological Tests - 30%, Radiology & Imaging - 20% Discount obtainable in OPD services","Mr. Raihan, +880 1816 472 629, goodheal_hospital@yahoo.com",Cashless facilities obtainable on IPD service
0052,Jahanara Hospital (Pvt).,Chattogram,Noakhali,Noakhali,"Sonaimuri Chourasta, Sonaimuri, Noakhali","Pathological Tests - 30%, Radiology & Imaging - 15% Discount obtainable in OPD services","Mr. Jahangir Alam Bhuyan, +880 1711 282 153, drjahangir_alam@yahoo.com",Cashless facilities applicable
0235,Royal Hospital Unit-2,Chattogram,Noakhali,Noakhali,"Hospital Road, Maijdee Cort, Noakhali","Pathological Tests - 25%, Radiology & Imaging - 15% Discount obtainable in OPD services","Md. Saddam Hossain, +880 1825 292 702, noakhaliroyalhospital@gmail.com",Cashless facilities obtainable on IPD service
0438,Apollo Imperial Hospital Chattogram,Chattogram,Chattogram,Chattogram,"Zakir Hossain Road, Pahartoli, Chattagram","Pathological Tests - 10%, Radiology & Imaging - 10% Discount obtainable in OPD services","Sujoy Biswas, Mobile: 01711998202",Cashless facilities obtainable on IPD service
0447,Bellevue Hospital (PVT),Chattogram,Chandpur,Chandpur,"Dorji Ghat, Bongobandhu Sharak, Chandpur","Pathological Tests - 35%, Radiology & Imaging - 25% Discount obtainable in OPD services","Probir Sarkar, Mobile: 01711159815, 01712231982",Cashless facilities not applicable on IPD service
0448,CSCR (PVT) Ltd Chattogram,Chattogram,Chattogram,Chattogram,"1675/A, O.R Nizam Road, Chattogram","Pathological Tests - 20%, Radiology & Imaging - 15% Discount obtainable in OPD services","Md. Azizur Rahman 01727069922, Md. Nayem Uddin 01625350625",Cashless facilities not obtainable on IPD service
0449,Union Hospital,Chattogram,Cox's Bazar,Cox's Bazar,"Hospital Road, Cox's Bazar Sadar, Bangladesh","Pathological Tests - 30%, Radiology & Imaging - 20%, Medicine-5% Discount obtainable in OPD services","Mohammad Abdullah 01828718777, Sontosh Badeggya 01817207138",Cashless facilities obtainable on IPD service
0455,Famous Specialized Hospital.,Chattogram,Chandpur,Chandpur,"Chandpur Sadar, Near Diabetic Hospital","Pathology Test-25%, Radiological Test- 20%, Immunological/Microbiology/Blood Transfusion-20%, Full Body Checkup-30%, Covid Test: 2500-3000 BDT","Kamrul Islam Zoglu 01752462200, Md. Tasriq Hossain 01674426767",Cashless facilities obtainable on IPD service
0460,Star K.S Hospital,Chattogram,Lakshmipur,Lakshmipur,"Karim Tower-2, Ramgoti Diversion Road, Laksmipur Sadar","Pathological Tests - 35%, Radiology & Imaging - 25% Discount obtainable in OPD services",Md. Kamruddin 0191174411,Cashless facilities obtainable on IPD service
0468,Midland Hospital Pvt. Ltd,Chattogram,Chandpur,Chandpur,"Alim Para, Hazi Mohsin Road, Chandpur","Pathological Test-30%, Radiological Test-25%",Bappy Ch. Shaha 01736779674,Cashless facilities obtainable on IPD service
0532,Metro Hospital,Chattogram,Noakhali,Noakhali,"Hospital Road, Maisde, Noakhali","Pathology: 30%, Radiology: 20% Discount Obtained in OPD Service","Md. Nasir Uddin 01822818537, Mahabubur Rahman 01827864344",Cashless facilities obtainable on IPD service
0534,Chagalnaiya Square Hospital,Chattogram,Feni,Feni,"Chagalnaiya, Feni","Pathological Test-40%, Radiological Test-25% Discount Obtainable in OPD Service","Akramul Haque Rana 01811262229, Nurul Amin Faruk 01877307030",Cashless facilities applicable
0548,"Labaid Specialized Hospital, Chattogram",Chattogram,Chattogram,Chattogram,"O.R Nazim Road, Chattogram","Pathological Test-15%, Radiological Test-10%",Kishore Kanti Das 01766660137,Cashless facilities not obtainable on IPD service
0572,Child Care Hospital (Pvt) Ltd,Chattogram,Chattogram,Chattogram,"Treatment Center (2nd floor), 1000, Panchlaish R/A, Chattogram",No Discount on OPD Service,Showkat Hossain 01841055221,Facilities are no obtainable
0573,Treatment Hospital (Pvt) Ltd.,Chattogram,Chattogram,Chattogram,"1000, Panchlaish, Chattogram",No Discount on OPD Service,Rashedul Hoque 01894713333,Cashless Facilities are no obtainable
0581,Delta Health Care (Chittahong),Chattogram,Chattogram,Chattogram,"28, Katalgonj, Panchlaish, Chattogram","Pathology-40%, Radiology-20%",Sanjoy 01817795771,Cashless facilities not Obtainal on IPC Service
0586,Parkview Hospital & Diagnostic Ltd,Chattogram,Chattogram,Chattogram,"Katalgonj, Panchlaish Chattogram",No Discount on OPD Service,01819514174,Cashless Facilities are no Obtainal on IPC Service
0587,Asperia Helth Care Ltd (AHCL),Chattogram,Chattogram,Chattogram,"Al-Noor Badrun Center, 1486/1672, O.R Nizam Road, Probartak Circle, Chottogram",No Discount on OPD Service,01851388580,Cashless Facilities are no Obtainal on IPC Service
0602,Meghna Hospital,Chattogram,Noakhali,Noakhali,"Hospital Road, Maijdee Cort, Noakhali","Pathology-40%, Radiology-30%",Zihadul Islam 01827034158,Cashless facilities not obtainable on IPC Service
0006,Evercare Hospital Dhaka,Dhaka,Dhaka,Bashundhara,"Plot # 81, Block # E, Bashundhara, R/A, Dhaka -1229","No Discount On Opd (Out-Patient) Services, COVID-19 treatment available (Cashless facilities available)",10678,Cashless facilities are obtainable on IPD service
0413,York Hospital,Dhaka,Dhaka,Bariani,"House # 12 & 13, Road # 222, Block #K, Banani, Dhaka-1213","Pathological Tests - 30%, Radiology & Imaging - 15%, Physiotherapy-15%, Dental- 10% (without consul. fee), Vaccination- 10% Discount Obtained in OPD Service",Md. Abdullah 01993319520,"Cashless facilities are obtainable on IPD service, FMR services are available for upcoming policyholder"
0427,Bangladesh Eye Hospital & Institute Ltd. (Banani Unit),Dhaka,Dhaka,Banani,"House 138, Block C, Road 4 Niharika Concord Tower, 11th to 14th Floor, Dhaka, 1213",Investigation-10%,09613880880,Cashless facilities are obtainable on IPD service.
0428,Farazy Diagnostic & Hospital Ltd.,Dhaka,Dhaka,Baridhara,"1204, Madani Avenue, 100 Feet Road, Baridhara, Natun Bazar, Gulshan, Dhaka-1212","Pathological Tests - 30%, Radiology & Imaging -25% Discount obtainable in OPD services",Mohammed Zaker Hossain 01726 100 777,Cashless facilities are obtainable on IPD service
0294,Hitech Multicare Hospital Ltd,Dhaka,Dhaka,Cantonment,"164 East Kafrul, Dhaka Cantonment, Dhaka 1206.","Pathological Tests - 25%, Radiology & Imaging - 10% Discount obtainable in OPD services","Mr. Saifullah Sadek +880 1671 162 286, +8801713 095257, ss_sadeq@yahoo.com",Cashless facilities are obtainable on IPD service
0336,Padma General Hospital,Dhaka,Dhaka,Banglamotor,"290, Soanrgaon Road, Kathalbagan Dhal, Dhaka-1205","Pathological Tests -30%, Radiology & Imaging -20%, Medicine & Surgical - 10% Discount obtainable in OPD services","Md. Sirajul Islam +880 1711 127 314, +880 1913 096 667, spycpadma@gmail.com",Cashless facilities not applicable
0291,Anwer Khan Modern Hospital Limited,Dhaka,Dhaka,Dhanmondi,"Road # 8, House # 17, Dhanmondi, Dhaka-1205","Pathological Tests-25%, Radiology & Imaging-10% Discount obtainable in OPD services, COVID-19 treatment available (Cashless facilities available)",Badrul Alam Mukul Mobile: 01711927861,Cashless facilities are obtainable on IPD service
0135,Bangladesh Ent Hospital Limited,Dhaka,Dhaka,Dhanmondi,"41/A Mirpur Rd, Dhaka 1207","Pathological Tests - 20%, Radiology & Imaging - 10%, Sleep Study-10% Discount obtainable in OPD services","Mr. Abdul Quddus PK +880 1745 154 675, manager.ent15@gmail.com",Cashless facilities are obtainable on IPD service
0007,Central Hospital Limited,Dhaka,Dhaka,Green Road,"House No. 2. Road No. 5. Green Road, Dhanmondi, Dhaka-1205","Pathological Tests 30%, Radiology & Imaging-10% Discount obtainable in OPD services","Mr. Abdullah Al Mamun +880 1731213511, Tel: 029660015, mamunchl81@gmail.com",Cashless facilities are obtainable on IPD service
0142,Comfort Nursing Home (Pvt) Ltd,Dhaka,Dhaka,Green Road,"167/B, Green Road, Dhanmondi, Dhaka-1205","Pathological Tests -25%, Radiology & Imaging-20% Discount obtainable in OPD services, COVID-19 treatment available (Cashless available)","A.H.M. Kamruzzaman Talukder +880 1715 201 393, comfort@bol-online.com",Cashless facilities are obtainable on IPD service
0034,Ibn Sina Hospital,Dhaka,Dhaka,Dhanmondi,"House-68, Road-15/A, Dhanmondi R/A, Dhaka-1209. (Near Sankar Bus Stand)","Pathological Tests -35% (Except PCR), Radiology & Imaging-30% (Except MRI), Health Checkup Package -35% Discount obtainable in OPD services",Milan Hasan 01752464024,Cashless facilities are obtainable on IPD service
0008,Labaid Cardiac Hospital,Dhaka,Dhaka,Dhanmondi,"House # 1, Road # 4, Dhanmondi R/A, Dhaka-1205","Pathological Tests -15% (Except PCR & Nuclear Medicine), Radiology & Imaging-10% Discount obtainable in OPD services, COVID-19 treatment available","Mr. Salim +880 1766 660 444, corporateservices@labaidgroup.com",Cashless facilities are obtainable on IPD service
0014,Labaid Specialized Hospital,Dhaka,Dhaka,Dhanmondi,"House-1, Road-4, Dhanmondi R/A, Dhaka-1205","Pathological Tests - 15% (Except PCR & Nuclear Medicine), Radiology & Imaging-10% Discount obtainable in OPD services, COVID-19 treatment available",Md. Siddik 01716359009,Cashless facilities are obtainable on IPD service
0201,Japan Bangladesh Friendship Medical Services Ltd.,Dhaka,Dhaka,Dhanmondi,"55, Satmosjid Road, (Zigatola Bus Stand), Dhanmondi R/A, Dhaka-1209","Pathological Tests - 40%, Radiology & Imaging-25% Discount obtainable in OPD services, COVID-19 treatment available (Cashless not available)","Mr. Murad Hossain +880 01816 861 234, muradjbfh@gmail.com",Cashless facilities are obtainable on IPD service
0344,Dhanmondi Dental Center (0344),Dhaka,Dhaka,Dhanmondi,"Concord Arcadia, Road-05. Dhanmondi R/A, Dhaka-1209",Any Kind of Services -25% Discount obtainable in OPD services,Md. Soikot 01766306801,Cashless facilities not applicable
0360,Bangladesh Eye Hospital & Institute Ltd. Dhanmondi,Dhaka,Dhaka,Dhanmondi,"78, shat mosjid road. Dhanmondi, Dhaka",Investigation-10%,09666787878,Cashless facilities are obtainable on IPD service
0374,Labaid Cancer Hospital.,Dhaka,Dhaka,Green Road,"26 Green Road, Dhaka-1205","Pathological Tests - 20%, Radiology & Imaging-10% Discount Obtained in OPD Service",Rakib 01753889871,Cashless facilities are obtainable on IPD service
0411,Popular Medical College Hospital.,Dhaka,Dhaka,Dhanmondi,"House# 08, Road #02, Dhanmondi R/A, Dhaka -1205",No Discount obtained in OPD Service,Md. Abul Khair 01717439218,Cashless facilities are obtainable on IPD service
0104,Dohar General Hospital (Pvt) Ltd,Dhaka,Dhaka,Dohar,"Joypara, Dohar, Dhaka-1330","Pathological Tests - 20%, Radiology & Imaging -15% Discount obtainable in OPD services",A.K.M. Haroun Ur Rashid +880 1762 681004,Cashless facilities not applicable
0113,Joypara Clinic & Diagnostic Complex Ltd.,Dhaka,Dhaka,Dohar,"Lotakhola Main Road, Joypara, Dohar, Dhaka.","Pathological Tests - 30%, Radiology & Imaging - 20% Discount obtainable in OPD services",Md. Asadul Haque +880 1714 221 801,Cashless facilities not applicable
0036,Asgar Ali Hospital,Dhaka,Dhaka,Gandaria,"Namapara, Distrilary Road, Gandaria, Dhaka-1204","Pathological Tests - 10%, Radiology & Imaging - 10% Discount obtainable in OPD services",10602,Cashless facilities are obtainable on IPD service
0064,Shahabuddin Medical College & Hospital,Dhaka,Dhaka,Gulshan,"House-15-16, Road-113/A, Gulshan-2, Dhaka..","Pathological Tests - 25%, Radiology & Imaging -25% Discount obtainable in OPD services, COVID-19 treatment available",Shahidul Islam 01795556854,Cashless facilities are obtainable on IPD service
0016,United Hospital Limited,Dhaka,Dhaka,Gulshan,"Plot No. #15, Road No. # 71. Gulshan-2, Dhaka","Pathological Tests - 20%, Radiology & Imaging - 10% Discount obtainable in OPD services, COVID-19 treatment available (Cashless not available)",01914001366,Cashless facilities are obtainable on IPD service
0197,Bangladesh Specialized Hospital(Bsh),Dhaka,Dhaka,Kallyanpur-Shymaoli,"21, Shyamoli, Mirpur Road, Dhaka-1207","Pathological Tests - 25%, Radiology & Imaging - 15% Discount obtainable in OPD services, COVID-19 treatment available",Md. Fahad +880 1313 777 888,Cashless facilities are obtainable on IPD service
0057,Ibn Sina Medical College & Hospital,Dhaka,Dhaka,Kallyanpur-Shymaoli,"1/1-B, Kallyanpur, Mirpur Road, Dhaka-1216","Pathological Tests - 35% (Except PCR), Radiology & Imaging -30% (Except MRI), Health Checkup Package - 35% Discount obtainable in OPD services",Abdur Razzak 01822-780054,Cashless facilities are obtainable on IPD service
0318,Dhaka Central International Medical College & Hospital,Dhaka,Dhaka,Kallyanpur-Shymaoli,"2/1, Ring Road, Shyamoli, Dhaka-1207, Bangladesh","Pathological Tests - 35%, Radiology & Imaging - 30% Discount obtainable in OPD services",Md. Musa Ali 01814637930,Cashless facilities are obtainable on IPD service
0076,Sajida Hospital-Keranigonj Unit,Dhaka,Dhaka,Keranigonj,"Zinzira, Chatgaon, Keranigonj",Corporate rates applicable,Mr. Harun ur Rashid +880 1777 772 580,Cashless facilities are not obtainable on IPD service
0043,Dr. Sirajul Islam Medical College & Hospital Limited,Dhaka,Dhaka,Malibagh,"12/3, New Circular Road, Malibagh, Dhaka","Pathological Tests - 20%, Radiology & Imaging - 10% Discount obtainable in OPD services",Rajib 01611401045,Cashless facilities are obtainable on IPD service
0362,Bangladesh Eye Hospital & Institute Ltd.,Dhaka,Dhaka,Malibagh,"Shaan tower, 24/1, chamelibag, shantinagar, Dhaka",Investigation-10%,09613966966,Cashless facilities are obtainable on IPD service
0321,Delta Hospital Ltd.,Dhaka,Dhaka,Mirpur,"26/2. Principal Abul Kashem Road, Mirpur-01, Dhaka-1216, Bangladesh","Pathological Tests -30%, X-Ray & ECG-25%, Echocardiogram/Endoscopy/CT Scan-15%, Mammography -20%, OPD and Emergency (Consultation fees) -25% Discount",Md. Abul Kalam Azad 01714 454 236,Cashless facilities are obtainable on IPD service
0012,Al Helal Specialized Hospital Ltd.,Dhaka,Dhaka,Mirpur,"150, Rokeya Sarani, Senpara Parbata, Mirpur-10","Pathological Tests -25%, Radiology & Imaging-15% Discount obtainable in OPD services",Mr. Shafiqul Islam Talukder +880 1711 156 001,Cashless facilities are obtainable on IPD service
0011,Dr. Azmal Hospital Ltd,Dhaka,Dhaka,Mirpur,"House No. 05, Road No. 04, Block-A, Section - 06, Mirpur, Dhaka-1216","Pathological Tests 30%, Radiology & Imaging-30% Discount obtainable in OPD services",Abul Khair 01937016227,Cashless facilities are obtainable on IPD service
0022,Islami Bank Hospital,Dhaka,Dhaka,Mirpur,"Plot-31, Main Road-3, Block-D, Section-11, Mirpur, Dhaka","Pathological Tests - 40%, Radiology & Imaging -35% Discount obtainable in OPD services",Md. Lutfor Rahman 0171545 6848,Cashless facilities are obtainable on IPD service
0124,Kingston Hospital Ltd.,Dhaka,Dhaka,Mirpur,"House No: 51-54, Road No: 1&2, Block-D. Shahidbag, Mirpur, Dhaka","Pathological Tests - 30%, Radiology & Imaging - 15% Discount obtainable in OPD services",01991140263,Cashless facilities are obtainable on IPD service
0365,Bangladesh Eye Hospital & Institute Ltd.,Dhaka,Dhaka,Mirpur,"Sumi tower, 66 zoo road, Mirpur-2. Dhaka.",Investigation 10-%,09610989798,Cashless facilities are obtainable on IPD service
0160,Aalok Healthcare Ltd,Dhaka,Dhaka,Mirpur,"House No. #01 02, Road No. #02, Block No. # B, Section # 10, Mirpur, Dhaka-1216","Pathological Test-30%, Radiology & Imaging-20%",Motiur Rahman 01769969837,Cashless facilities are obtainable on IPD service
0015,Holy Family Red Crescent Medical College Hospital,Dhaka,Dhaka,Mogbazar,"1 Eskaton Garden Road, Moghbazar, Dhaka-1217","Pathological Test-20%, Radiology & Imaging-10% Discount Obtained On Opd (Out-Patient) Services, COVID-19 treatment available",Mr. Zakir Hossain +880 1754 294042,Cashless facilities are obtainable on IPD service
0146,Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,Mogbazar,"11-Shahid Tajuddin Ahmed Sharoni, Moghbazar, Dhaka-1217","Pathological Tests - 40%, Radiology & Imaging - 30% Discount obtainable in OPD services",Md. Hero Miah +880 1979 098 073,Cashless facilities are obtainable on IPD service
0013,Monowara Hospital (Pvt) Ltd.,Dhaka,Dhaka,Siddheswari,"54 Siddeshwari Road, Dhaka-1217","Pathological Tests - 10%, Radiology & Imaging - 10% Discount obtainable in OPD services",Md Syfullah Sayem 01771658053,Cashless facilities are obtainable on IPD service
0434,Fashion Eye Hospital & Institute,Dhaka,Dhaka,Mogbazar,"98/6/A Bara Mogbazar, Dhaka-1217",Investigation-10%,Md. Hasanuzzaman 0192999990127,Cashless facilities are obtainable on IPD service
0099,Metropolitan Medical Centre Ltd,Dhaka,Dhaka,Mohakhali,"46 Shaheed Tajuddin Ahmed Sharani, Mohakhali, Dhakal","Pathological Tests - 20%, Radiology & Imaging - 10% Discount obtainable in OPD services",Mr. A.K.M Faridul Alam +880 1712 103 162,Cashless facilities are obtainable on IPD service
0002,Universal Medical College & Hospital Ltd.,Dhaka,Dhaka,Mohakhali,"74G/75, Peacock Square, New Airport Road, Mohakhali, Dhaka-1215","Pathological Tests -25%, Radiology & Imaging - 15%, On OPD consultation-less BDT. 100/-, Empl/Executive Health Checkup-30%",Mr. Aminul Islam Sumon +880 1841 490 025,Cashless facilities are obtainable on IPD service
0295,Al-Manar Hospital Ltd.,Dhaka,Dhaka,Mohammadpur,"Plot-Umo, Block-Rossoi, Satmasjid Road (Opposite to Govt. Physical College) Mohammadpur","Pathological Tests -40%, Radiology & Imaging-30% Discount obtainable in OPD services.",Mr. Mezba +880 1617205222,Cashless facilities not applicable
0048,City Hospital Limited,Dhaka,Dhaka,Mohammadpur,"House No. # 1/8, Block # E Lalmatia, Mohammadpur, Dhaka-1207","Pathological Tests - 35%, Radiology & Imaging - 20% Discount obtainable in OPD services",Nifaz Fatema (Irani) 01551 244 159,Cashless facilities are obtainable on IPD service
0023,"Islami Bank Hospital, Motijheel Unit",Dhaka,Dhaka,Motijheel,"24/B. Outer Circular Road, Motijheel, Dhaka-1217.","Pathological Tests - 40%, Radiology & Imaging-35% Discount obtainable in OPD services",Md. Atiqur Rahman 01716907133,Cashless facilities are obtainable on IPD service
0021,"Islami Bank Central Hospital, Kakrail Unit",Dhaka,Dhaka,Kakrail,"30, Anjuman Mufidul Islam Road, Kakrail, Dhaka-1000","Pathological Tests -40%, Radiology & Imaging - 35% Discount obtainable in OPD services",Md. Abdul Kuddus 01716606231,Cashless facilities are obtainable on IPD service
0024,Islami Bank Specialized & General Hospital,Dhaka,Dhaka,Motijheel,"71-72 VIP Road, Naya Paltan, Motijheel, Dhaka-1000.","Pathological Tests - 40%, Radiology & Imaging -35% Discount obtainable in OPD services",Md. Rafiqul Islam 01917376013,Cashless facilities are obtainable on IPD service
